Name,GEMS code,GCCF register,Registration number,DOB,Champion status,Sire,Dam
LONGNAP FIGLET,TOS n 31,Supplementary,1176841,30/06/2023,,TOPTONK LEXUS RAMESES,RAMESES LONGNAP CHATUCHAK
TOPTONK LEXUS RAMESES,TOS c 32,Supplementary,1111529,29/01/2021,Ch,TONKYWAY BRONZE JUPITER,ADSEOBU TOPTONK GABBY
RAMESES LONGNAP CHATUCHAK,TOS n 31,Supplementary,1125834,09/07/2021,,RAMINTHA OF RAMESES,RAMESES BUNDLE
TONKYWAY BRONZE JUPITER,TOS n 32,Reference,1075545,09/06/2019,,KATCHYN JANAGAR JUPITER,ADIFTAM SIALAXY DARKSTAR
ADSEOBU TOPTONK GABBY,TOS n 33,Supplementary,1064350,08/03/2019,GrCH,TONKYWAY DARK TENOUSEI,TOPTONK CLOE COCO
KATCHYN JANAGAR JUPITER,BUT n,Full,894452,24/04/2016,Ch,,
ADIFTAM SIALAXY DARKSTAR,SIA n,Full,865959,18/11/2014,,,
TONKYWAY DARK TENOUSEI,TOS n 32,Reference,1024867,02/04/2017,,,
TOPTONK CLOE COCO,TOS c 32,Supplementary,1062484,30/09/2017,,,
RAMINTHA OF RAMESES,TOS n 32,Reference,1052063,01/04/2017,,UNKNOWN,UNKNOWN
RAMESES BUNDLE,TOS c21 32,Supplementary,1061358,30/11/2018,,CHOCOLATEDOT RAMESES ECCO,RAMESES PEACH
UNKNOWN SIRE,TOS n 32,,,,,,
UNKNOWN DAM,TOS n 32,,,,,,
CHOCOLATEDOT RAMESES ECCO,TOS a 32,Supplementary,1037019,20/11/2017,,,
RAMESES PEACH,TOS c 21 32,Experimental,8080381,14/02/2012,,,
